IR;BPM;AVG BPM;MILLIS
45664;0.00;0;35
50648;0.00;0;55
54975;0.00;0;75
57234;0.00;0;95
56021;0.00;0;115
43192;0.00;0;135
34899;0.00;0;155
30580;0.00;0;176
25098;0.00;0;196
22078;0.00;0;216
24950;0.00;0;236
37443;0.00;0;256
60992;0.00;0;276
77327;0.00;0;296
79444;0.00;0;316
77579;0.00;0;336
79830;0.00;0;356
85804;0.00;0;376
88850;0.00;0;396
89925;0.00;0;416
90366;0.00;0;436
90717;0.00;0;456
90672;0.00;0;476
90767;0.00;0;496
91840;0.00;0;516
92759;0.00;0;537
93482;0.00;0;557
94142;0.00;0;577
94654;0.00;0;597
95155;0.00;0;617
95762;0.00;0;637
96515;0.00;0;657
97241;0.00;0;677
97916;0.00;0;697
98528;0.00;0;717
99115;0.00;0;737
99568;0.00;0;757
99924;0.00;0;777
100215;0.00;0;797
100493;0.00;0;817
100750;0.00;0;837
100988;0.00;0;857
101309;0.00;0;877
101669;0.00;0;898
101948;0.00;0;918
102123;0.00;0;938
102262;0.00;0;958
102395;0.00;0;978
102537;0.00;0;998
102835;0.00;0;1018
103146;0.00;0;1038
103310;0.00;0;1058
103412;0.00;0;1078
103478;0.00;0;1098
103487;0.00;0;1118
103484;0.00;0;1138
103502;0.00;0;1158
103520;0.00;0;1178
103512;0.00;0;1198
103491;0.00;0;1218
103477;0.00;0;1238
103477;0.00;0;1259
103478;0.00;0;1279
103455;0.00;0;1299
103390;0.00;0;1319
103297;0.00;0;1339
103115;0.00;0;1359
102906;0.00;0;1379
102741;0.00;0;1399
102523;0.00;0;1419
102562;0.00;0;1439
102676;0.00;0;1459
102677;0.00;0;1479
102645;0.00;0;1499
102615;0.00;0;1519
102574;0.00;0;1539
102496;0.00;0;1559
102360;0.00;0;1579
102202;0.00;0;1599
102154;0.00;0;1620
102242;0.00;0;1640
102434;0.00;0;1660
102525;0.00;0;1680
102505;0.00;0;1700
102433;0.00;0;1720
102420;0.00;0;1740
102470;0.00;0;1760
102536;0.00;0;1780
102667;0.00;0;1800
102794;0.00;0;1820
102814;0.00;0;1840
102766;0.00;0;1860
102659;0.00;0;1880
102510;0.00;0;1900
102391;0.00;0;1920
102348;0.00;0;1940
102348;0.00;0;1960
102388;0.00;0;1981
102490;0.00;0;2001
102596;0.00;0;2021
102669;0.00;0;2041
102735;0.00;0;2061
102761;0.00;0;2081
102804;0.00;0;2101
102836;0.00;0;2121
102814;0.00;0;2141
102837;0.00;0;2161
102939;0.00;0;2181
103004;0.00;0;2201
103035;0.00;0;2221
103040;0.00;0;2241
103014;0.00;0;2261
102998;0.00;0;2281
102999;0.00;0;2301
103003;0.00;0;2321
103016;0.00;0;2342
103068;0.00;0;2362
103088;0.00;0;2382
103064;0.00;0;2402
102973;0.00;0;2422
102799;0.00;0;2442
102641;0.00;0;2462
102595;0.00;0;2482
102555;0.00;0;2502
102593;0.00;0;2522
102671;0.00;0;2542
102739;0.00;0;2562
102821;0.00;0;2582
102917;0.00;0;2602
102961;0.00;0;2622
102985;0.00;0;2642
102975;0.00;0;2662
102978;0.00;0;2682
102963;0.00;0;2703
102966;0.00;0;2723
102956;0.00;0;2743
102943;0.00;0;2763
102935;0.00;0;2783
102918;0.00;0;2803
102941;0.00;0;2823
103001;0.00;0;2843
102993;0.00;0;2863
102986;0.00;0;2883
103011;0.00;0;2903
103048;0.00;0;2923
103069;0.00;0;2943
103074;0.00;0;2963
103027;0.00;0;2983
102932;0.00;0;3003
102756;0.00;0;3023
102631;0.00;0;3043
102591;0.00;0;3063
102611;0.00;0;3084
102667;0.00;0;3104
102713;0.00;0;3124
102787;0.00;0;3144
102832;0.00;0;3164
102868;0.00;0;3184
102939;0.00;0;3204
102944;0.00;0;3224
102921;0.00;0;3244
102919;0.00;0;3264
102892;0.00;0;3284
102850;0.00;0;3304
102856;0.00;0;3324
102868;0.00;0;3344
102900;0.00;0;3364
102939;0.00;0;3384
102958;0.00;0;3404
102944;0.00;0;3424
102956;0.00;0;3445
102991;17.32;0;3465
103028;17.32;0;3485
103023;17.32;0;3505
102989;17.32;0;3525
102967;17.32;0;3545
102972;17.32;0;3565
102888;17.32;0;3585
102684;17.32;0;3605
102540;17.32;0;3625
102454;17.32;0;3645
102430;17.32;0;3665
102472;17.32;0;3685
102530;17.32;0;3705
102584;17.32;0;3725
102607;17.32;0;3745
102660;17.32;0;3765
102727;17.32;0;3785
102797;17.32;0;3806
102824;17.32;0;3826
102810;17.32;0;3846
102773;17.32;0;3866
102716;17.32;0;3886
102712;17.32;0;3906
102774;17.32;0;3926
102780;17.32;0;3946
102785;17.32;0;3966
102832;17.32;0;3986
102870;17.32;0;4006
102910;17.32;0;4026
102931;17.32;0;4046
102945;17.32;0;4066
102955;17.32;0;4086
102984;93.60;23;4106
103021;93.60;23;4126
103034;93.60;23;4146
102989;93.60;23;4167
102875;93.60;23;4187
102665;93.60;23;4207
102522;93.60;23;4227
102415;93.60;23;4247
102440;93.60;23;4267
102498;93.60;23;4287
102501;93.60;23;4307
102578;93.60;23;4327
102682;93.60;23;4347
102797;93.60;23;4367
102868;93.60;23;4387
102881;93.60;23;4407
102854;93.60;23;4427
102836;93.60;23;4447
102820;93.60;23;4467
102776;93.60;23;4487
102743;93.60;23;4508
102744;93.60;23;4528
102764;93.60;23;4548
102820;93.60;23;4568
102824;93.60;23;4588
102791;93.60;23;4608
102786;93.60;23;4628
102829;110.70;50;4648
102812;110.70;50;4668
102811;110.70;50;4688
102833;110.70;50;4708
102863;110.70;50;4728
102879;110.70;50;4748
102868;110.70;50;4768
102793;110.70;50;4788
102621;110.70;50;4808
102455;110.70;50;4828
102314;110.70;50;4848
102278;110.70;50;4869
102291;110.70;50;4889
102364;110.70;50;4909
102423;110.70;50;4929
102440;110.70;50;4949
102458;110.70;50;4969
102513;110.70;50;4989
102577;110.70;50;5009
102586;110.70;50;5029
102585;110.70;50;5049
102563;110.70;50;5069
102540;110.70;50;5089
102533;110.70;50;5109
102529;110.70;50;5129
102536;110.70;50;5149
102551;110.70;50;5169
102578;110.70;50;5189
102582;110.70;50;5209
102595;110.70;50;5230
102602;110.70;50;5250
102629;110.70;50;5270
102660;110.70;50;5290
102629;110.70;50;5310
102613;110.70;50;5330
102632;110.70;50;5350
102609;110.70;50;5370
102595;110.70;50;5390
102576;110.70;50;5410
102460;110.70;50;5430
102244;110.70;50;5450
102090;110.70;50;5470
102027;110.70;50;5490
102026;110.70;50;5510
102062;110.70;50;5530
102116;110.70;50;5550
102180;110.70;50;5571
102217;110.70;50;5591
102280;110.70;50;5611
102357;110.70;50;5631
102381;110.70;50;5651
102321;110.70;50;5671
102288;110.70;50;5691
102293;110.70;50;5711
102244;110.70;50;5731
102254;110.70;50;5751
102284;110.70;50;5771
102329;110.70;50;5791
102396;110.70;50;5811
102423;110.70;50;5831
102422;110.70;50;5851
102424;110.70;50;5871
102428;110.70;50;5891
102455;110.70;50;5911
102484;110.70;50;5932
102518;110.70;50;5952
102535;110.70;50;5972
102549;110.70;50;5992
102545;110.70;50;6012
102533;43.35;61;6032
102524;43.35;61;6052
102398;43.35;61;6072
102109;43.35;61;6092
101930;43.35;61;6112
101884;43.35;61;6132
101883;43.35;61;6152
101926;43.35;61;6172
101981;43.35;61;6192
102065;43.35;61;6212
102153;43.35;61;6232
102235;43.35;61;6252
102295;43.35;61;6272
102328;43.35;61;6293
102348;43.35;61;6313
102368;43.35;61;6333
102378;43.35;61;6353
102319;43.35;61;6373
102270;43.35;61;6393
102262;43.35;61;6413
102258;43.35;61;6433
102250;43.35;61;6453
102302;43.35;61;6473
102372;43.35;61;6493
102366;43.35;61;6513
102398;43.35;61;6533
102441;43.35;61;6553
102498;110.91;89;6573
102509;110.91;89;6593
102510;110.91;89;6613
102514;110.91;89;6633
102541;110.91;89;6654
102623;110.91;89;6674
102640;110.91;89;6694
102576;110.91;89;6714
102385;110.91;89;6734
102172;110.91;89;6754
102039;110.91;89;6774
102000;110.91;89;6794
101994;110.91;89;6814
102061;110.91;89;6834
102149;110.91;89;6854
102226;110.91;89;6874
102285;110.91;89;6894
102326;110.91;89;6914
102357;110.91;89;6934
102398;110.91;89;6954
102412;110.91;89;6974
102381;110.91;89;6994
102385;110.91;89;7015
102388;110.91;89;7035
102404;110.91;89;7055
102418;110.91;89;7075
102384;110.91;89;7095
102392;110.91;89;7115
102441;110.91;89;7135
102440;110.91;89;7155
102442;99.67;90;7175
102455;99.67;90;7195
102485;99.67;90;7215
102537;99.67;90;7235
102597;99.67;90;7255
102609;99.67;90;7275
102640;99.67;90;7295
102656;99.67;90;7315
102648;99.67;90;7335
102602;99.67;90;7355
102445;99.67;90;7376
102233;99.67;90;7396
102067;99.67;90;7416
102025;99.67;90;7436
101994;99.67;90;7456
102036;99.67;90;7476
102152;99.67;90;7496
102216;99.67;90;7516
102290;99.67;90;7536
102368;99.67;90;7556
102435;99.67;90;7576
102473;99.67;90;7596
102492;99.67;90;7616
102445;99.67;90;7636
102414;99.67;90;7656
102409;99.67;90;7676
102418;99.67;90;7696
102422;99.67;90;7717
102452;99.67;90;7737
102491;99.67;90;7757
102505;99.67;90;7777
102511;99.67;90;7797
102509;93.46;86;7817
102536;93.46;86;7837
102580;93.46;86;7857
102560;93.46;86;7877
102580;93.46;86;7897
102619;93.46;86;7917
102637;93.46;86;7937
102691;93.46;86;7957
102730;93.46;86;7977
102699;93.46;86;7997
102585;93.46;86;8017
102381;93.46;86;8037
102177;93.46;86;8057
102066;93.46;86;8078
102053;93.46;86;8098
102086;93.46;86;8118
102153;93.46;86;8138
102209;93.46;86;8158
102256;93.46;86;8178
102297;93.46;86;8198
102339;93.46;86;8218
102357;93.46;86;8238
102394;93.46;86;8258
102426;93.46;86;8278
102425;93.46;86;8298
102405;93.46;86;8318
102403;93.46;86;8338
102423;93.46;86;8358
102438;93.46;86;8378
102470;93.46;86;8398
102481;93.46;86;8418
102509;93.46;86;8439
102530;93.46;86;8459
102561;93.46;86;8479
102583;93.46;86;8499
102590;85.47;96;8519
102583;85.47;96;8539
102618;85.47;96;8559
102648;85.47;96;8579
102641;85.47;96;8599
102658;85.47;96;8619
102704;85.47;96;8639
102725;85.47;96;8659
102647;85.47;96;8679
102466;85.47;96;8699
102250;85.47;96;8719
102119;85.47;96;8739
102077;85.47;96;8759
102129;85.47;96;8779
102231;85.47;96;8800
102317;85.47;96;8820
102381;85.47;96;8840
102432;85.47;96;8860
102479;85.47;96;8880
102527;85.47;96;8900
102542;85.47;96;8920
102555;85.47;96;8940
102515;85.47;96;8960
102474;85.47;96;8980
102455;85.47;96;9000
102445;85.47;96;9020
102457;85.47;96;9040
102473;85.47;96;9060
102480;85.47;96;9080
102520;85.47;96;9100
102537;85.47;96;9120
102534;96.62;93;9140
102562;96.62;93;9161
102610;96.62;93;9181
102623;96.62;93;9201
102610;96.62;93;9221
102623;96.62;93;9241
102642;96.62;93;9261
102664;96.62;93;9281
102713;96.62;93;9301
102647;96.62;93;9321
102476;96.62;93;9341
102289;96.62;93;9361
102104;96.62;93;9381
102067;96.62;93;9401
102100;96.62;93;9421
102157;96.62;93;9441
102233;96.62;93;9461
102270;96.62;93;9481
102345;96.62;93;9501
102437;96.62;93;9522
102497;96.62;93;9542
102527;96.62;93;9562
102524;96.62;93;9582
102494;96.62;93;9602
102424;96.62;93;9622
102399;96.62;93;9642
102404;96.62;93;9662
102356;96.62;93;9682
102361;96.62;93;9702
102374;96.62;93;9722
102416;96.62;93;9742
102462;96.62;93;9762
102505;96.62;93;9782
102539;96.62;93;9802
102566;96.62;93;9822
102614;85.47;89;9842
102643;85.47;89;9862
102678;85.47;89;9882
102704;85.47;89;9903
102756;85.47;89;9923
102765;85.47;89;9943
102641;85.47;89;9963
102361;85.47;89;9983
102141;85.47;89;10003
102053;85.47;89;10023
101989;85.47;89;10043
102007;85.47;89;10063
102083;85.47;89;10083
102164;85.47;89;10103
102281;85.47;89;10123
102373;85.47;89;10143
102422;85.47;89;10163
102452;85.47;89;10183
102488;85.47;89;10203
102527;85.47;89;10223
102536;85.47;89;10243
102505;85.47;89;10264
102475;85.47;89;10284
102484;85.47;89;10304
102502;85.47;89;10324
102452;85.47;89;10344
102459;85.47;89;10364
102510;85.47;89;10384
102483;85.47;89;10404
102459;103.09;92;10424
102487;103.09;92;10444
102497;103.09;92;10464
102500;103.09;92;10484
102513;103.09;92;10504
102519;103.09;92;10524
102535;103.09;92;10544
102543;103.09;92;10564
102515;103.09;92;10584
102362;103.09;92;10604
102132;103.09;92;10625
101996;103.09;92;10645
101943;103.09;92;10665
101957;103.09;92;10685
101917;103.09;92;10705
101972;103.09;92;10725
102103;103.09;92;10745
102139;103.09;92;10765
102153;103.09;92;10785
102225;103.09;92;10805
102293;103.09;92;10825
102342;103.09;92;10845
102350;103.09;92;10865
102305;103.09;92;10885
102274;103.09;92;10905
102280;103.09;92;10925
102304;103.09;92;10945
102303;103.09;92;10965
102330;103.09;92;10986
102352;103.09;92;11006
102376;103.09;92;11026
102395;103.09;92;11046
102386;103.09;92;11066
102399;103.09;92;11086
102436;103.09;92;11106
102437;85.47;92;11126
102463;85.47;92;11146
102495;85.47;92;11166
102521;85.47;92;11186
102527;85.47;92;11206
102436;85.47;92;11226
102174;85.47;92;11246
101966;85.47;92;11266
101888;85.47;92;11286
101891;85.47;92;11306
101924;85.47;92;11326
101982;85.47;92;11347
102047;85.47;92;11367
102131;85.47;92;11387
102220;85.47;92;11407
102233;85.47;92;11427
102243;85.47;92;11447
102293;85.47;92;11467
102249;85.47;92;11487
102204;85.47;92;11507
102170;85.47;92;11527
102197;85.47;92;11547
102219;85.47;92;11567
102263;85.47;92;11587
102272;85.47;92;11607
102296;85.47;92;11627
102346;85.47;92;11647
102364;85.47;92;11667
102419;85.47;92;11687
102461;85.47;92;11708
102472;85.47;92;11728
102475;96.46;92;11748
102507;96.46;92;11768
102498;96.46;92;11788
102499;96.46;92;11808
102512;96.46;92;11828
102428;96.46;92;11848
102207;96.46;92;11868
101973;96.46;92;11888
101891;96.46;92;11908
101886;96.46;92;11928
101925;96.46;92;11948
101985;96.46;92;11968
102073;96.46;92;11988
102169;96.46;92;12008
102254;96.46;92;12028
102309;96.46;92;12048
102334;96.46;92;12069
102351;96.46;92;12089
102344;96.46;92;12109
102335;96.46;92;12129
102250;96.46;92;12149
102241;96.46;92;12169
102271;96.46;92;12189
102243;96.46;92;12209
102264;96.46;92;12229
102305;96.46;92;12249
102339;96.46;92;12269
102359;96.46;92;12289
102388;106.95;97;12309
102382;106.95;97;12329
102401;106.95;97;12349
102426;106.95;97;12369
102430;106.95;97;12389
102435;106.95;97;12410
102445;106.95;97;12430
102432;106.95;97;12450
102309;106.95;97;12470
102056;106.95;97;12490
101867;106.95;97;12510
101843;106.95;97;12530
101866;106.95;97;12550
101883;106.95;97;12570
101923;106.95;97;12590
102037;106.95;97;12610
102120;106.95;97;12630
102193;106.95;97;12650
102284;106.95;97;12670
102358;106.95;97;12690
102407;106.95;97;12710
102402;106.95;97;12730
102384;106.95;97;12750
102372;106.95;97;12771
102381;106.95;97;12791
